Ticker,Company,Sector,Industry,MarketCap,ROE,InsiderOwn,EarningsDate,Volume,Price,RS,Date,ATH,52W High,U/D,^IXIC Total,Total,Prev Total,No1,No4,No5,No6,SMA10,EMA8,EMA21,SMA50,SMA200,EMA8 Gap,SMA200 Gap,Volume SMA50,BuyFlg1,BuyFlg2,BuyFlg4,BuyingFlg
CVX,Chevron Corp.,Energy,Oil & Gas Integrated,287.65B,0.03%,12.68%,Apr 26/b,"5,861,674",156.08,47.1,2024-06-07,189.68,171.7,1.386,7,4,4.0,1,1,0,0,157.4829988,158.1129073390149,158.26778389100625,159.41920468,152.39483099999998,-1.29,2.42,7163746.0,1,1,0,0.0
NFLX,Netflix Inc.,Communication Services,Entertainment,276.45B,0.89%,29.80%,Apr 18/a,"1,605,550",641.47,86.1,2024-06-07,700.99,664.25,0.684,7,7,7.0,1,1,1,1,644.5319947,635.5220635574681,618.7269521610153,611.67040044,514.92100007,0.94,24.58,3580908.0,1,0,1,0.0
KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic,275.32B,0.78%,41.76%,Apr 30/b,"8,981,321",63.91,57.87,2024-06-07,67.2,64.36,1.455,7,6,6.0,1,1,1,0,62.9270001,62.99814029719408,62.10233174379308,61.51519982,58.669837295,1.45,8.93,12041938.0,1,1,0,0.0
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,271.33B,0.56%,2.01%,Apr 30/a,"43,504,302",167.87,74.37,2024-06-07,227.3,227.3,1.291,7,6,6.0,1,1,1,1,166.1119995,163.96228307211626,163.53240803510607,161.61540005999998,143.92669943500002,2.38,16.64,53586530.0,1,1,1,0.0
PEP,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic,235.14B,0.34%,50.90%,Apr 23/b,"3,323,649",171.04,44.36,2024-06-07,196.88,192.38,0.734,7,4,4.0,1,1,0,0,171.6563491,173.43309013131267,173.2531106007886,173.18361322,167.581241985,-1.38,2.06,4862272.0,1,0,0,0.0
CRM,Salesforce Inc,Technology,Software - Application,234.35B,2.64%,9.34%,May 29/a,"6,138,737",241.85,33.39,2024-06-07,318.71,318.71,0.892,7,4,4.0,0,1,0,0,245.8809984,254.68621170666077,268.7987274604705,275.90820102000004,255.38691149,-5.04,-5.3,7593354.0,1,0,0,0.0
QCOM,"Qualcomm, Inc.",Technology,Semiconductors,230.59B,0.21%,38.26%,May 01/a,"5,429,018",206.62,92.98,2024-06-07,217.43,217.43,1.14,7,7,7.0,1,1,1,1,207.6211761,201.6374249398368,188.70201183684063,181.98759426,144.72876813000002,2.47,42.76,8718242.0,1,1,1,0.0
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,221.81B,0.19%,13.75%,Apr 24/b,"1,231,858",581.09,54.81,2024-06-07,672.34,603.82,1.106,7,7,7.0,1,1,1,1,573.0120056,577.4787325057725,576.274600590169,575.03520388,534.7533088700001,0.63,8.67,1329210.0,1,1,1,0.0
TMUS,T-Mobile US Inc,Communication Services,Telecom Services,210.72B,62.30%,13.57%,Apr 25/a,"5,987,754",179.82,77.05,2024-06-07,182.67,182.67,1.252,7,7,7.0,1,1,1,1,173.61377869999998,171.60487102357692,166.86451630307903,164.46821684,154.234811465,4.79,16.59,4695156.0,1,1,1,0.0
ADBE,Adobe Inc,Technology,Software - Infrastructure,208.51B,0.43%,32.37%,Jun 13/a,"2,463,025",465.43,19.18,2024-06-07,699.54,638.25,0.597,7,1,1.0,0,0,0,0,458.88399670000007,465.2026334900005,479.844299766868,477.29439882,545.638350085,0.05,-14.7,2976024.0,0,0,0,0.0
WFC,Wells Fargo & Co.,Financial,Banks - Diversified,203.46B,0.15%,10.37%,Apr 12/b,"14,172,906",58.36,80.3,2024-06-07,66.31,62.55,0.989,7,6,6.0,1,1,0,1,59.0379998,59.383525059428464,58.98156601817301,59.12084298,49.21655191,-1.72,18.58,16821726.0,1,0,0,0.0
DHR,Danaher Corp.,Healthcare,Diagnostics & Research,194.86B,8.80%,8.47%,Apr 23/b,"3,625,661",263.08,68.7,2024-06-07,296.06,269.11,1.055,7,7,7.0,1,1,1,1,261.0579972,260.89710678712544,255.68095161238443,251.69899812,233.260599445,0.84,12.78,2693410.0,1,1,1,0.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,187.15B,0.72%,14.80%,Apr 17/b,"8,652,503",107.58,41.68,2024-06-07,142.6,121.64,0.862,7,3,2.0,0,0,1,0,103.1940002,104.03430594804531,105.77139214295738,106.38065688,105.38650156,3.41,2.08,5553706.0,1,0,0,0.0
DIS,Walt Disney Co,Communication Services,Entertainment,185.11B,0.07%,1.72%,May 07/b,"5,957,134",101.54,50.35,2024-06-07,203.02,123.74,0.726,7,4,4.0,0,1,0,0,102.1040001,103.16280910214552,106.2962543827608,109.6958003,97.48458084,-1.57,4.16,10645956.0,1,0,0,0.0
MCD,McDonald's Corp,Consumer Cyclical,Restaurants,184.73B,0.04%,-,Apr 30/b,"2,285,553",256.21,24.28,2024-06-07,302.39,302.39,0.62,7,2,2.0,0,0,0,0,256.3164977,260.30453858992274,265.77138872851145,266.83232364,274.196967145,-1.57,-6.56,3579684.0,1,0,0,0.0
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,184.68B,0.23%,27.52%,May 15/a,"15,539,710",45.84,26.32,2024-06-07,82.0,58.19,0.815,7,1,1.0,0,0,0,0,46.3559998,46.7692862230247,47.46294548011138,47.78700054,49.972693205000006,-1.99,-8.27,19145962.0,1,0,0,0.0
AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,183.59B,0.36%,45.19%,May 16/a,"3,541,416",221.73,88.01,2024-06-07,225.07,225.07,0.658,7,7,7.0,1,1,1,1,218.6160003,216.58151586170467,210.46345421240736,208.30643976,172.19276539499998,2.38,28.77,4829108.0,1,0,1,0.0
TXN,Texas Instruments Inc.,Technology,Semiconductors,178.10B,0.15%,36.47%,Apr 23/a,"3,289,363",195.61,72.97,2024-06-07,206.0,206.0,1.456,7,7,7.0,1,1,1,1,195.9330003,193.93721673401103,186.1693119289786,180.95937098,164.3738276,0.86,19.0,5610386.0,1,1,1,0.0
GE,GE Aerospace,Industrials,Aerospace & Defense,177.24B,0.41%,14.12%,Apr 23/b,"3,337,783",161.92,93.3,2024-06-07,289.94,170.8,1.22,7,7,7.0,1,1,1,1,163.676001,162.57794217547988,157.9877284426226,158.84364104,116.16863946,-0.4,39.38,7303497.32,1,1,1,0.0
VZ,Verizon Communications Inc,Communication Services,Telecom Services,172.33B,0.05%,12.08%,Apr 22/b,"10,399,976",40.94,66.6,2024-06-07,62.5,43.42,0.838,7,7,7.0,1,1,1,1,40.5840005,40.511765420699625,40.16606030617254,40.21908602,37.016211495,1.06,10.6,17422392.0,1,0,1,0.0
AXP,American Express Co.,Financial,Credit Services,167.36B,0.13%,32.61%,Apr 19/b,"2,191,312",232.67,83.04,2024-06-07,244.41,244.41,0.978,7,7,7.0,1,1,1,1,236.3430007,236.5258173934413,233.2625276088609,232.32414302,191.364298915,-1.63,21.58,2930696.0,1,0,1,0.0
AMGN,AMGEN Inc.,Healthcare,Drug Manufacturers - General,163.62B,0.23%,72.57%,May 02/a,"1,924,794",305.02,75.14,2024-06-07,329.72,329.72,1.063,7,7,7.0,1,1,1,1,304.21300030000003,304.3854027284946,296.22691482692886,288.35071106,277.6373279,0.21,9.86,2500266.0,1,1,1,0.0
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,161.95B,0.04%,-0.30%,May 01/b,"26,299,942",28.58,31.16,2024-06-07,61.71,40.37,1.369,7,1,2.0,0,0,1,0,28.7589996,28.6136770306928,27.89956278802112,27.24796012,28.601197190000004,-0.12,-0.07,39519120.0,1,1,0,0.0
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,161.07B,0.17%,-,Apr 23/b,"2,135,893",103.61,67.93,2024-06-07,123.55,104.9,1.655,7,6,6.0,1,1,1,0,101.9040001,101.35275778829168,98.35349020275989,96.47539996000002,92.022049755,2.23,12.59,5594050.0,1,1,0,0.0
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,160.87B,0.19%,62.86%,Apr 25/b,"2,480,984",328.94,71.82,2024-06-07,382.01,382.01,0.696,7,6,6.0,1,1,0,1,335.6859984,339.68754384097247,344.53066228337406,352.16739124,301.20690329,-3.16,9.21,2657210.0,1,0,0,0.0
INTU,Intuit Inc,Technology,Software - Application,160.43B,2.79%,16.90%,May 23/a,"1,017,171",573.90,47.22,2024-06-07,716.86,676.62,0.616,7,5,5.0,0,1,0,1,580.4800049,599.3737587627971,617.0345846133695,622.87510132,591.1644267300001,-4.25,-2.92,1369428.0,0,0,0,0.0
MS,Morgan Stanley,Financial,Capital Markets,157.87B,23.46%,9.52%,Apr 16/b,"4,018,330",97.14,71.12,2024-06-07,110.0,103.25,1.784,7,7,7.0,1,1,1,1,97.4620002,97.46211912197676,95.45683337014172,94.45056142,85.41836059500001,-0.33,13.72,6449454.0,0,1,1,0.0
IBM,International Business Machines Corp.,Technology,Information Technology Services,156.17B,0.10%,36.35%,Apr 24/a,"3,473,125",170.01,55.13,2024-06-07,206.41,199.18,1.111,7,5,5.0,0,1,0,1,167.6760011,168.479602094553,171.62741752268002,173.79401612,163.009844495,0.91,4.29,3896346.0,1,1,0,0.0
NEE,NextEra Energy Inc,Utilities,Utilities - Regulated Electric,154.89B,0.09%,16.37%,Apr 23/b,"10,057,169",75.39,77.56,2024-06-07,93.73,80.47,1.516,7,7,7.0,1,1,1,1,77.0526261,75.81865162125953,71.78445620606071,69.85446146,61.130952665,-0.57,23.33,11174858.0,0,1,1,0.0
CMCSA,Comcast Corp,Communication Services,Telecom Services,152.86B,0.95%,18.68%,Apr 25/b,"14,815,911",38.96,27.34,2024-06-07,61.8,47.46,0.523,7,1,1.0,0,0,0,0,39.023,39.10662955283551,39.52143895309131,39.50044316,42.03766124999999,-0.37,-7.32,20525378.0,1,0,0,0.0
ISRG,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies,148.13B,0.69%,15.79%,Apr 18/a,"1,182,904",417.61,81.45,2024-06-07,420.57,420.57,0.902,7,7,7.0,1,1,1,1,407.3259948,403.88538884952186,394.23281126604223,388.86139828,344.718300015,3.4,21.15,1335942.0,1,0,1,0.0
GS,"Goldman Sachs Group, Inc.",Financial,Capital Markets,146.69B,0.51%,7.98%,Apr 15/b,"1,671,150",454.91,85.52,2024-06-07,471.48,471.48,1.347,7,7,7.0,1,1,1,1,456.1590027,454.4048123322112,439.74280067359103,432.43873778,369.79082688,0.11,23.02,2288318.0,1,1,1,0.0
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,145.74B,22.45%,36.38%,Jun 27/a,"9,154,646",96.55,30.21,2024-06-07,179.1,123.39,0.975,7,3,3.0,0,0,1,0,93.7844116,93.63088135083954,93.6410229071118,92.43177032,99.85896923,3.12,-3.31,9025488.0,1,0,0,0.0
MU,Micron Technology Inc.,Technology,Semiconductors,145.00B,0.49%,-8.27%,Jun 26/a,"11,417,246",130.94,94.64,2024-06-07,134.13,134.13,0.754,7,7,7.0,1,1,1,1,129.4560019,127.57525304892955,121.54528665261404,121.81099964,90.01232986999999,2.64,45.47,19487510.0,1,0,1,0.0
UBER,Uber Technologies Inc,Technology,Software - Application,144.82B,3.94%,14.97%,May 08/b,"13,818,745",69.31,78.07,2024-06-07,82.14,82.14,0.585,7,6,6.0,1,1,0,1,65.37600069999999,66.13104827396377,67.96963612404707,69.32740048,61.554450135,4.81,12.6,19485390.0,1,0,0,0.0
RTX,RTX Corp,Industrials,Aerospace & Defense,143.73B,0.10%,5.22%,Apr 23/b,"3,503,715",108.11,78.9,2024-06-07,108.65,108.65,0.886,7,7,7.0,1,1,1,1,106.9890001,106.31803191921624,103.23207238869404,102.70691346,87.43146611499998,1.69,23.65,7031700.0,1,0,1,0.0
NOW,ServiceNow Inc,Technology,Software - Application,143.26B,0.49%,28.13%,Apr 24/a,"1,119,609",698.81,53.02,2024-06-07,815.32,815.32,1.131,7,5,5.0,0,1,0,1,693.6899902,708.8744309697086,725.3471860425043,733.09879756,686.7057485850002,-1.42,1.76,1365238.0,1,1,0,0.0
BX,Blackstone Inc,Financial,Asset Management,142.21B,41.51%,30.65%,Apr 18/b,"3,153,347",117.62,55.32,2024-06-07,149.78,133.56,0.832,7,5,5.0,0,1,0,1,119.7599998,121.06638061891567,122.29423452574488,122.91509732,115.623792235,-2.85,1.73,3334320.0,0,0,0,0.0
UNP,Union Pacific Corp.,Industrials,Railroads,139.09B,0.31%,45.45%,Apr 25/b,"2,116,613",227.97,43.85,2024-06-07,278.94,258.66,0.597,7,3,4.0,0,0,0,0,228.3434448,231.58051101512933,235.3515476122385,236.11373352,228.833176,-1.56,-0.38,2208972.0,1,0,0,0.0
HON,Honeywell International Inc,Industrials,Conglomerates,135.96B,0.09%,34.32%,Apr 25/b,"2,562,818",208.78,55.51,2024-06-07,236.86,210.97,1.158,7,6,6.0,1,1,1,0,203.5230011,203.5517312224355,200.48281074711716,198.3325171,193.49047133,2.57,7.9,2735848.0,1,1,0,0.0
SPGI,S&P Global Inc,Financial,Financial Data & Stock Exchanges,134.15B,0.15%,8.00%,Apr 25/b,"810,098",428.74,51.05,2024-06-07,484.21,461.16,2.091,7,6,6.0,1,1,1,0,430.2254699,430.8722364922022,428.1319478542565,425.21965444,411.18390409500006,-0.49,4.27,1273904.0,0,1,0,0.0
SYK,Stryker Corp.,Healthcare,Medical Devices,133.08B,6.18%,18.64%,Apr 30/a,"844,008",349.33,66.09,2024-06-07,361.41,361.41,0.902,7,7,7.0,1,1,1,1,342.3940004,340.03370913881804,338.0182176731516,337.83419991999995,311.24397986500003,2.73,12.24,1360290.0,1,0,1,0.0
SCHW,Charles Schwab Corp.,Financial,Capital Markets,131.39B,5.87%,12.26%,Apr 15/b,"5,321,362",73.93,75.71,2024-06-07,96.24,79.49,0.886,7,7,7.0,1,1,1,1,72.5679993,73.85825681016358,73.41597024023058,73.81792088,63.81987447,0.1,15.84,7048796.0,1,0,1,0.0
INTC,Intel Corp.,Technology,Semiconductors,130.86B,0.05%,3.99%,Apr 25/a,"32,295,806",30.74,12.04,2024-06-07,75.83,51.28,0.75,7,1,1.0,0,0,0,0,30.5210001,30.855270060070563,32.94135039225649,33.566799960000004,39.29830274,-0.37,-21.78,50801134.0,1,0,0,0.0
COP,Conoco Phillips,Energy,Oil & Gas E&P,130.40B,0.09%,21.73%,May 02/b,"4,364,047",112.00,42.0,2024-06-07,138.49,135.18,0.468,7,3,3.0,0,1,0,0,114.4090004,116.14788493102026,119.433469106943,123.6213095,116.92273958,-3.57,-4.21,5098256.0,1,0,0,0.0
T,"AT&T, Inc.",Communication Services,Telecom Services,129.78B,0.11%,13.35%,Apr 24/b,"36,455,989",18.10,68.44,2024-06-07,45.27,18.45,1.092,7,7,7.0,1,1,1,1,17.877000099999997,17.752839976254837,17.3469039506683,17.12492546,16.015588715,1.96,13.01,34601794.0,1,1,1,0.0
LRCX,Lam Research Corp.,Technology,Semiconductor Equipment & Materials,125.87B,0.48%,43.95%,Apr 24/a,"477,250",962.72,84.63,2024-06-07,1007.39,1007.39,0.776,7,7,7.0,1,1,1,1,953.319995,946.936031459798,935.5591001355403,935.02979612,798.161249385,1.67,20.62,937882.0,1,0,1,0.0
ELV,Elevance Health Inc,Healthcare,Healthcare Plans,125.26B,0.46%,16.02%,Apr 18/b,"709,223",538.94,64.37,2024-06-07,550.34,550.34,1.508,7,7,7.0,1,1,1,1,529.5079893999999,534.6258699457796,528.9027690841251,526.4393963,485.256108525,0.81,11.06,1068194.0,1,1,1,0.0
VRTX,"Vertex Pharmaceuticals, Inc.",Healthcare,Biotechnology,124.65B,0.27%,24.38%,May 06/a,"941,265",483.04,85.91,2024-06-07,486.43,486.43,2.041,7,7,7.0,1,1,1,1,464.0090028,457.0453716323751,436.42838373172617,422.34980228,395.98750124,5.69,21.98,1107664.0,1,1,1,0.0
PGR,Progressive Corp.,Financial,Insurance - Property & Casualty,124.48B,0.29%,29.92%,May 06/a,"2,058,821",212.53,86.99,2024-06-07,217.77,217.77,1.398,7,7,7.0,1,1,1,1,209.0029985,209.8247289589656,207.97093679694672,209.58263066,175.36818961,1.29,21.19,2650400.0,1,1,1,0.0
LOW,"Lowe's Cos., Inc.",Consumer Cyclical,Home Improvement Retail,123.47B,0.11%,-,May 21/b,"1,582,480",216.67,36.13,2024-06-07,263.31,262.49,0.533,7,4,4.0,0,1,0,0,216.9449997,220.8212787797684,226.2437487183461,229.61463994,218.50119074000003,-1.88,-0.84,2281078.0,1,0,0,0.0
TJX,"TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,121.42B,0.14%,66.83%,May 22/b,"7,946,078",107.44,76.41,2024-06-07,108.58,108.58,1.135,7,7,7.0,1,1,1,1,104.4940008,103.0553281128594,99.93950909328798,98.04059478,93.535441325,4.25,14.87,6139018.0,1,1,1,0.0
C,Citigroup Inc,Financial,Banks - Diversified,117.84B,0.31%,3.76%,Apr 12/b,"7,391,477",61.78,82.85,2024-06-07,591.25,64.98,1.004,7,7,7.0,1,1,1,1,62.07199969999999,62.28702922754555,61.57206807628984,61.67236513999999,50.935886595,-0.81,21.29,12714524.0,1,1,1,0.0
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,117.76B,14.76%,32.08%,Apr 23/b,"3,208,388",137.64,21.29,2024-06-07,233.72,192.98,1.045,7,0,0.0,0,0,0,0,137.3260011,139.966839129113,143.0745935441722,144.21337128000002,148.28384790500002,-1.66,-7.18,3487738.0,1,1,0,0.0
BA,Boeing Co.,Industrials,Aerospace & Defense,116.78B,0.18%,-,Apr 24/b,"3,368,750",190.24,25.3,2024-06-07,446.01,267.54,0.879,7,2,2.0,0,0,1,0,181.6310012,182.63922588423813,181.62949887266373,178.0528009,202.072000365,4.16,-5.86,6901932.0,1,0,0,0.0
ADI,Analog Devices Inc.,Technology,Semiconductors,116.50B,0.39%,6.01%,May 22/b,"2,207,346",234.77,81.83,2024-06-07,241.88,241.88,1.48,7,7,7.0,1,1,1,1,232.377977,226.99338061827964,214.518638834228,207.14271244,188.27125909,3.43,24.7,3290414.0,1,1,1,0.0
BLK,Blackrock Inc.,Financial,Asset Management,114.23B,1.10%,15.28%,Apr 12/b,"464,312",768.69,48.5,2024-06-07,973.16,845.0,0.96,7,4,5.0,0,1,0,0,769.6855773,775.8553467199666,778.4047894030549,776.3694054200001,738.414010275,-0.92,4.1,625526.0,1,0,0,0.0
BSX,Boston Scientific Corp.,Healthcare,Medical Devices,113.37B,0.45%,9.38%,Apr 24/b,"6,592,630",77.11,86.8,2024-06-07,77.56,77.56,1.117,7,7,7.0,1,1,1,1,75.6889999,75.2072755679864,72.99893370644514,72.03159987999999,61.27224978,2.53,25.85,6219390.0,0,1,1,0.0
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,112.80B,0.06%,83.16%,Apr 23/b,"1,042,669",470.13,56.34,2024-06-07,508.1,479.5,1.467,7,6,6.0,1,1,1,0,463.4830414,464.2614074198683,459.0440030560863,458.62654234,438.20569474,1.26,7.29,972690.0,1,1,0,0.0
